state,num
Alabama,6
Alaska,1
Arizona,23
Arkansas,4
California,30
Colorado,34
Connecticut,14
Delaware,48
Florida,11
Georgia,41
Hawaii,0
Idaho,7
Illinois,18
Indiana,16
Iowa,33
Kansas,22
Kentucky,8
Louisiana,7
Maine,24
Maryland,106
Massachusetts,42
Michigan,21
Minnesota,165
Mississippi,3
Missouri,13
Montana,6
Nebraska,17
Nevada,55
New Hampshire,6
New Jersey,69
New Mexico,3
New York,48
North Carolina,19
North Dakota,16
Ohio,41
Oklahoma,9
Oregon,14
Pennsylvania,30
Rhode Island,51
South Carolina,6
South Dakota,25
Tennessee,25
Texas,26
Utah,13
Vermont,20
Virginia,75
Washington,73
West Virginia,1
Wisconsin,7
Wyoming,16
